,title,title_link,publication_info,snippet,cited_by_link,cited_by_count,pdf_file,year
141,T-Type Ca2+ Channel Inhibition Induces p53-Dependent Cell Growth Arrest and Apoptosis through Activation of p38-MAPK in Colon Cancer Cellsp53 and p38-MAPK …,https://aacrjournals.org/mcr/article-abstract/12/3/348/89454,"B Dziegielewska, DL Brautigan, JM Larner… - Molecular Cancer …, 2014 - AACR","Epithelial tumor cells express T-type Ca 2+ channels, which are thought to promote cell 
proliferation. This study investigated the cellular response to T-type Ca 2+ channel inhibition …","https://scholar.google.com/scholar?cites=1340672411192258053&as_sdt=5,47&sciodt=0,47&hl=en",66.0,https://www.researchgate.net/profile/Jd_Jd4/publication/259449015_T-Type_Ca2_Channel_Inhibition_Induces_p53-Dependent_Cell_Growth_Arrest_and_Apoptosis_through_Activation_of_p38-MAPK_in_Colon_Cancer_Cells/links/56ec05d908aee4707a384cde/T-Type-Ca2-Channel-Inhibition-Induces-p53-Dependent-Cell-Growth-Arrest-and-Apoptosis-through-Activation-of-p38-MAPK-in-Colon-Cancer-Cells.pdf,2014
142,[HTML][HTML] Imaging in otosclerosis: a pictorial review,https://insightsimaging.springeropen.com/articles/10.1007/s13244-014-0313-9,"B Purohit, R Hermans - Insights into imaging, 2014 - insightsimaging.springeropen.com","Otosclerosis is an otodystrophy of the otic capsule and is a cause of conductive, mixed or 
sensorineural hearing loss in the 2nd to 4th decades of life. Otosclerosis is categorised into two …","https://scholar.google.com/scholar?cites=13874780722888116977&as_sdt=5,47&sciodt=0,47&hl=en",73.0,https://insightsimaging.springeropen.com/articles/10.1007/s13244-014-0313-9,2014
143,Cell type–specific genetic and optogenetic tools reveal hippocampal CA2 circuits,https://www.nature.com/articles/nn.3614,"K Kohara, M Pignatelli, AJ Rivest, HY Jung… - Nature …, 2014 - nature.com","The formation and recall of episodic memory requires precise information processing by the 
entorhinal-hippocampal network. For several decades, the trisynaptic circuit entorhinal …","https://scholar.google.com/scholar?cites=4467740867583154537&as_sdt=5,47&sciodt=0,47&hl=en",458.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4004172/,2014
144,Effects of kappa opioid receptors on conditioned place aversion and social interaction in males and females,https://www.sciencedirect.com/science/article/pii/S0166432814000060,"CF Robles, MZ McMackin, KL Campi, IE Doig… - Behavioural brain …, 2014 - Elsevier","The effects of kappa opioid receptors (KOR) on motivated behavior are well established based 
on studies in male rodents, but relatively little is known about the effects of KOR in females…","https://scholar.google.com/scholar?cites=6741524618861755674&as_sdt=5,47&sciodt=0,47&hl=en",58.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4073310/,2014
145,Overexpression of Hyperpolarization‐Activated Cyclic Nucleotide‐Gated Channels into the Ventral Tegmental Area Increases the Rewarding Effects of Ethanol in …,https://onlinelibrary.wiley.com/doi/abs/10.1111/acer.12344,"M Rivera‐Meza, ME Quintanilla… - Alcoholism: Clinical …, 2014 - Wiley Online Library","Background A number of studies have shown that ethanol (EtOH) activates dopamine 
neurocircuitries and is self‐administered into the ventral tegmental area (VTA) of the rat brain. In …","https://scholar.google.com/scholar?cites=8648134438859290731&as_sdt=5,47&sciodt=0,47&hl=en",18.0,https://repositorio.uchile.cl/bitstream/handle/2250/129401/Overexpression-of-Hyperpolarization-Activated-Cyclic-Nucleotide-Gated-Channels-into-the-Ventral-Tegmental-Area-Increases-the-Rewarding-Effects-of-Ethanol-in-UChB-Drinking-Rats.pdf?sequence=1,2014
146,The sodium channel β1 subunit mediates outgrowth of neurite‐like processes on breast cancer cells and promotes tumour growth and metastasis,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.28890,"M Nelson, R Millican‐Slater, LC Forrest… - … journal of cancer, 2014 - Wiley Online Library","Voltage‐gated Na + channels (VGSCs) are heteromeric proteins composed of pore‐forming 
α subunits and smaller β subunits. The β subunits are multifunctional channel modulators …","https://scholar.google.com/scholar?cites=8747296375410870397&as_sdt=5,47&sciodt=0,47&hl=en",74.0,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ijc.28890,2014
147,[PDF][PDF] FIG4 gene in familial epilepsy with polymicrogyria,https://core.ac.uk/download/pdf/301568606.pdf,S Baulac - core.ac.uk,"Objective: The aim of this study was to identify the causal gene in a consanguineous Moroccan 
family with temporo-occipital polymicrogyria, psychiatric manifestations, and epilepsy, …",,,https://core.ac.uk/download/pdf/301568606.pdf,2014
148,"[PDF][PDF] Janine R. Neumann, Suvarna Dash-Wagh, Kay Jüngling, Teresa Tsai, Martin Meschkat, Andrea Räk, Sabine",https://www.researchgate.net/profile/Stefan-Wiese-2/publication/261609809_Y-P30_promotes_axonal_growth_by_stabilizing_growth_cones/links/00b49534fc73edeecb000000/Y-P30-promotes-axonal-growth-by-stabilizing-growth-cones.pdf,CR Schönfelder - researchgate.net,"The 30-amino acid peptide Y-P30, generated from the N-terminus of the human dermcidin 
precursor protein, has been found to promote neuronal survival, cell migration and neurite …",,,https://www.researchgate.net/profile/Stefan-Wiese-2/publication/261609809_Y-P30_promotes_axonal_growth_by_stabilizing_growth_cones/links/00b49534fc73edeecb000000/Y-P30-promotes-axonal-growth-by-stabilizing-growth-cones.pdf,2014
149,[HTML][HTML] A soluble biocompatible guanidine-containing polyamidoamine as promoter of primary brain cell adhesion and in vitro cell culturing,https://www.tandfonline.com/doi/full/10.1088/1468-6996/15/4/045007,"N Tonna, F Bianco, M Matteoli, C Cagnoli… - … and Technology of …, 2014 - Taylor & Francis","Abstract This paper reports on a novel application of an amphoteric water-soluble 
polyamidoamine named AGMA1 bearing 4-butylguanidine pendants. AGMA1 is an amphoteric, …","https://scholar.google.com/scholar?cites=8470218763282073998&as_sdt=5,47&sciodt=0,47&hl=en",14.0,https://www.tandfonline.com/doi/full/10.1088/1468-6996/15/4/045007,2014
150,[PDF][PDF] Role of PSD-95 in synaptic maturation and visual cortex plasticity,https://core.ac.uk/download/pdf/150154584.pdf,X Huang - 2014 - core.ac.uk,"PSD-95 belongs to the family of DLG-MAGUKs (Discs-large membrane-associated guanylate 
kinases), and it plays an important role in organizing postsynaptic signaling and synaptic …","https://scholar.google.com/scholar?cites=4626571656662559366&as_sdt=5,47&sciodt=0,47&hl=en",1.0,https://core.ac.uk/download/pdf/150154584.pdf,2014
151,[HTML][HTML] Ethanol Suppresses PGC-1α Expression by Interfering with the cAMP-CREB Pathway in Neuronal Cells,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0104247,"Z Liu, Y Liu, R Gao, H Li, T Dunn, P Wu, RG Smith… - PLoS …, 2014 - journals.plos.org","Alcohol intoxication results in neuronal apoptosis, neurodegeneration and manifest with 
impaired balance, loss of muscle coordination and behavioral changes. One of the early events …","https://scholar.google.com/scholar?cites=10739506485532627162&as_sdt=5,47&sciodt=0,47&hl=en",36.0,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0104247,2014
152,"Expression, purification and preliminary crystallographic analysis of Mycobacterium tuberculosis CysQ, a phosphatase involved in sulfur metabolism",https://scripts.iucr.org/cgi-bin/paper?rl5066,"A Erickson, R Sarsam, AJ Fisher - Acta Crystallographica Section F …, 2014 - scripts.iucr.org","CysQ is part of the sulfur-activation pathway that dephosphorylates 3′-phosphoadenosine 
5′-monophosphate (PAP) to regenerate adenosine 5′-monophosphate (AMP) and free …","https://scholar.google.com/scholar?cites=9647947187760744298&as_sdt=5,47&sciodt=0,47&hl=en",1.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4051529/,2014
153,DSCAM localization and function at the mouse cone synapse,https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.23552,"GB de Andrade, SS Long, H Fleming… - Journal of …, 2014 - Wiley Online Library","The Down syndrome cell adhesion molecule (DSCAM) is required for regulation of cell 
number, soma spacing, and cell type–specific dendrite avoidance in many types of retinal …","https://scholar.google.com/scholar?cites=2184185438270317917&as_sdt=5,47&sciodt=0,47&hl=en",23.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4043867/,2014
154,Voltage-gated membrane currents in neurons involved in odor information processing in snail procerebrum,https://link.springer.com/article/10.1007/s00429-013-0526-6,"Z Pirger, I Battonyai, N Krajcs, K Elekes… - Brain Structure and …, 2014 - Springer","The procerebrum (PC) of the snail brain is a critical region for odor discrimination and odor 
learning. The morphological organization and physiological function of the PC has been …","https://scholar.google.com/scholar?cites=4245292577345651928&as_sdt=5,47&sciodt=0,47&hl=en",5.0,http://real.mtak.hu/17254/1/PirgerZ_etal_BSF_online%20first.pdf,2014
155,Potentiation of High Voltage–Activated Calcium Channels by 4-Aminopyridine Depends on Subunit Composition,https://molpharm.aspetjournals.org/content/86/6/760.short,"L Li, DP Li, SR Chen, J Chen, H Hu, HL Pan - Molecular pharmacology, 2014 - ASPET","4-Aminopyridine (4-AP, fampridine) is used clinically to improve neuromuscular function in 
patients with multiple sclerosis, spinal cord injury, and myasthenia gravis. 4-AP can increase …","https://scholar.google.com/scholar?cites=17899482144481964763&as_sdt=5,47&sciodt=0,47&hl=en",21.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4244593/,2014
156,De novo KCNB1 mutations in epileptic encephalopathy,https://onlinelibrary.wiley.com/doi/abs/10.1002/ana.24263,"A Torkamani, K Bersell, BS Jorge… - Annals of …, 2014 - Wiley Online Library","Objective Numerous studies have demonstrated increased load of de novo copy number 
variants or single nucleotide variants in individuals with neurodevelopmental disorders, …","https://scholar.google.com/scholar?cites=6915990204096466640&as_sdt=5,47&sciodt=0,47&hl=en",136.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4192091/,2014
157,Hippocampal long-term potentiation is disrupted during expression and extinction but is restored after reinstatement of morphine place preference,https://www.jneurosci.org/content/34/2/527.short,"GS Portugal, R Al-Hasani, AK Fakira… - Journal of …, 2014 - Soc Neuroscience","Learned associations between environmental cues and morphine use play an important role 
in the maintenance and/or relapse of opioid addiction. Although previous studies suggest …","https://scholar.google.com/scholar?cites=9090035304173388546&as_sdt=5,47&sciodt=0,47&hl=en",62.0,https://www.jneurosci.org/content/jneuro/34/2/527.full.pdf,2014
158,[HTML][HTML] The angiotensin II type 1 receptor (AT1R) closely interacts with large conductance voltage-and Ca2+-activated K+ (BK) channels and inhibits their activity …,https://www.jbc.org/article/S0021-9258(20)31524-6/abstract,"Z Zhang, M Li, R Lu, A Alioua, E Stefani… - Journal of Biological …, 2014 - ASBMB","Angiotensin II (ANG-II) and BK channels play important roles in the regulation of blood 
pressure. In arterial smooth muscle, ANG-II inhibits BK channels, but the underlying molecular …","https://scholar.google.com/scholar?cites=11791496588686281697&as_sdt=5,47&sciodt=0,47&hl=en",29.0,https://www.jbc.org/article/S0021-9258(20)31524-6/abstract,2014
159,TRPM7 channels regulate proliferation and adipogenesis in 3T3‐L1 preadipocytes,https://onlinelibrary.wiley.com/doi/abs/10.1002/jcp.24417,"KH Chen, XH Xu, Y Liu, Y Hu, MW Jin… - Journal of Cellular …, 2014 - Wiley Online Library","Transient receptor potential melastatin‐7 (TRPM7) channels are involved in many cellular 
physiological and pathological processes. The present study was designed to investigate the …","https://scholar.google.com/scholar?cites=12180416149384452520&as_sdt=5,47&sciodt=0,47&hl=en",27.0,https://www.researchgate.net/profile/Gui-Rong-Li/publication/237823491_TRPM7_Channels_Regulate_Proliferation_and_Adipogenesis_in_3T3-L1_Preadipocytes/links/5c88a5b045851564fad9d7e0/TRPM7-Channels-Regulate-Proliferation-and-Adipogenesis-in-3T3-L1-Preadipocytes.pdf,2014
160,[CITATION][C] Cu-dependent APP phosphorylation drives its trafficking,,"KM Acevedo, CM Opazo, D Norrish, LM Challis, QX Li… - 2014 - ASBMB",,,,,2014
161,Glutamatergic signaling at the vestibular hair cell calyx synapse,https://www.jneurosci.org/content/34/44/14536.short,"SG Sadeghi, SJ Pyott, Z Yu… - Journal of …, 2014 - Soc Neuroscience","In the vestibular periphery a unique postsynaptic terminal, the calyx, completely covers the 
basolateral walls of type I hair cells and receives input from multiple ribbon synapses. To date…","https://scholar.google.com/scholar?cites=10316830286332077144&as_sdt=5,47&sciodt=0,47&hl=en",66.0,https://www.jneurosci.org/content/jneuro/34/44/14536.full.pdf,2014
162,[PDF][PDF] Interaction proteomics reveals distinct brain region specific AMPAR complexes,https://research.vumc.nl/files/472717/chapter%204%20interaction%20proteomics%20reveals%20distinct%20brain%20region%20specific%20ampar%20complexes.pdf,"N Chen, F Koopmans, RV Klaassen… - research.vumc.nl","… The anti-GluA2 monoclonal antibody was purchased from Neuromab. The anti-GluA2/3 
polyclonal antibody was custom made by Genscript against the peptide …",,,https://research.vumc.nl/files/472717/chapter%204%20interaction%20proteomics%20reveals%20distinct%20brain%20region%20specific%20ampar%20complexes.pdf,2014
163,[PDF][PDF] New α-and γ-synuclein immunopathological,https://www.researchgate.net/profile/Andrei-Surguchov/publication/265557954_New_-_and_-synuclein_immunopathological_lesions_in_human_brain/links/544a958a0cf2d6347f401164/New-and-synuclein-immunopathological-lesions-in-human-brain.pdf,"I Surgucheva, KL Newell, J Burns, A Surguchov - 2014 - researchgate.net","8 Abstract 9 Introduction: Several neurodegenerative diseases are classified as proteopathies 
as they are associated with the 10 aggregation of misfolded proteins. Synucleinopathies …",,,https://www.researchgate.net/profile/Andrei-Surguchov/publication/265557954_New_-_and_-synuclein_immunopathological_lesions_in_human_brain/links/544a958a0cf2d6347f401164/New-and-synuclein-immunopathological-lesions-in-human-brain.pdf,2014
164,[PDF][PDF] Interaction proteomics analysis of the pre-synapse,https://research.vumc.nl/files/472719/chapter%203%20interaction%20proteomics%20analysis%20of%20the%20pre%20synapse.pdf,"N Chen, F Koopmans, RC van der Schors, P Klemmer… - research.vumc.nl","… Neuromab antibodies were provided by UC Davis / NIH NeuroMab Facility for biological 
research. The SV2 antibody developed by Kathleen M. Buckley, Synaptotagmin 1 antibodies …",,,https://research.vumc.nl/files/472719/chapter%203%20interaction%20proteomics%20analysis%20of%20the%20pre%20synapse.pdf,2014
165,[HTML][HTML] C-terminal interactors of the AMPA receptor auxiliary subunit Shisa9,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0087360,"AR Karataeva, RV Klaassen, J Ströder… - PLoS …, 2014 - journals.plos.org","Shisa9 (initially named CKAMP44) has been identified as auxiliary subunit of the AMPA-type 
glutamate receptors and was shown to modulate its physiological properties. Shisa9 is a …","https://scholar.google.com/scholar?cites=16790981369000847523&as_sdt=5,47&sciodt=0,47&hl=en",32.0,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0087360,2014
166,[HTML][HTML] C9orf72 FTLD/ALS-associated Gly-Ala dipeptide repeat proteins cause neuronal toxicity and Unc119 sequestration,https://link.springer.com/article/10.1007/s00401-014-1329-4,"S May, D Hornburg, MH Schludi, T Arzberger… - Acta …, 2014 - Springer","Hexanucleotide repeat expansion in C9orf72 is the most common pathogenic mutation in 
patients with amyotrophic lateral sclerosis (ALS) and frontotemporal lobar degeneration (FTLD)…","https://scholar.google.com/scholar?cites=16387251835280971998&as_sdt=5,47&sciodt=0,47&hl=en",319.0,https://link.springer.com/article/10.1007/s00401-014-1329-4,2014
167,Large conductance calcium-activated potassium channels: their expression and modulation of glutamate release from nerve terminals isolated from rat trigeminal …,https://link.springer.com/article/10.1007/s11064-014-1287-1,"I Samengo, D Curro, V Barrese, M Taglialatela… - Neurochemical …, 2014 - Springer","Large conductance, calcium-activated potassium channels [big potassium (BK) channel] 
consist of a tetramer of pore-forming α-subunit and distinct accessory β-subunits (β1–4) that …","https://scholar.google.com/scholar?cites=12356715821499346012&as_sdt=5,47&sciodt=0,47&hl=en",16.0,https://www.researchgate.net/profile/Maurizio-Taglialatela/publication/261103788_Large_Conductance_Calcium-Activated_Potassium_Channels_Their_Expression_and_Modulation_of_Glutamate_Release_from_Nerve_Terminals_Isolated_from_Rat_Trigeminal_Caudal_Nucleus_and_Cerebral_Cortex/links/54aa6b5f0cf200447b259938/Large-Conductance-Calcium-Activated-Potassium-Channels-Their-Expression-and-Modulation-of-Glutamate-Release-from-Nerve-Terminals-Isolated-from-Rat-Trigeminal-Caudal-Nucleus-and-Cerebral-Cortex.pdf,2014
168,Chronic alcohol disrupts dopamine receptor activity and the cognitive function of the medial prefrontal cortex,https://www.jneurosci.org/content/34/10/3706.short,"H Trantham-Davidson, EJ Burnett, JT Gass… - Journal of …, 2014 - Soc Neuroscience","Dopamine (DA) receptors in the medial prefrontal cortex (mPFC) exert powerful effects on 
cognition by modulating the balance between excitatory and inhibitory neurotransmission. The …","https://scholar.google.com/scholar?cites=3675488011871127671&as_sdt=5,47&sciodt=0,47&hl=en",119.0,https://www.jneurosci.org/content/jneuro/34/10/3706.full.pdf,2014
169,[PDF][PDF] Presynaptic control of glycine transporter 2 (GlyT2) by physical and functional association with plasma membrane Ca 2-ATPase (PMCA) and Na-Ca 2 …,https://www.researchgate.net/profile/Jaime-De-Juan-Sanz/publication/266946575_Presynaptic_Control_of_Glycine_Transporter_2_GlyT2_by_Physical_and_Functional_Association_with_Plasma_Membrane_Ca2-ATPase_PMCA_and_Na-Ca2_Exchanger_NCX/links/5441654c0cf2e6f0c0f61c25/Presynaptic-Control-of-Glycine-Transporter-2-GlyT2-by-Physical-and-Functional-Association-with-Plasma-Membrane-Ca2-ATPase-PMCA-and-Na-Ca2-Exchanger-NCX.pdf,"J de Juan‐Sanz, E Núñez, F Zafra, M Berrocal… - 2014 - researchgate.net","Background: GlyT2 is crucial for glycinergic neurotransmission but only a few interacting 
partners for this protein are known. Results: Novel identification of PMCA2/3 and NCX1 as …",,,https://www.researchgate.net/profile/Jaime-De-Juan-Sanz/publication/266946575_Presynaptic_Control_of_Glycine_Transporter_2_GlyT2_by_Physical_and_Functional_Association_with_Plasma_Membrane_Ca2-ATPase_PMCA_and_Na-Ca2_Exchanger_NCX/links/5441654c0cf2e6f0c0f61c25/Presynaptic-Control-of-Glycine-Transporter-2-GlyT2-by-Physical-and-Functional-Association-with-Plasma-Membrane-Ca2-ATPase-PMCA-and-Na-Ca2-Exchanger-NCX.pdf,2014
170,"MET receptor tyrosine kinase controls dendritic complexity, spine morphogenesis, and glutamatergic synapse maturation in the hippocampus",https://www.jneurosci.org/content/34/49/16166.short,"S Qiu, Z Lu, P Levitt - Journal of Neuroscience, 2014 - Soc Neuroscience","The MET receptor tyrosine kinase (RTK), implicated in risk for autism spectrum disorder (ASD) 
and in functional and structural circuit integrity in humans, is a temporally and spatially …","https://scholar.google.com/scholar?cites=1326837204238871139&as_sdt=5,47&sciodt=0,47&hl=en",60.0,https://www.jneurosci.org/content/jneuro/34/49/16166.full.pdf,2014
171,"Interactions between E6, FAK, and GIT1 at paxillin LD4 are necessary for transformation by bovine papillomavirus 1 E6",https://journals.asm.org/doi/abs/10.1128/JVI.00552-14,"N Brimer, R Wade, S Vande Pol - Journal of Virology, 2014 - Am Soc Microbiol","Bovine papillomavirus 1 E6 interacts with two similar proteins that regulate cell attachment 
and cell migration called paxillin (PXN) and HIC-5 (also known as HIC5, ARA55, HIC-5, TSC-5…","https://scholar.google.com/scholar?cites=7008998662968642073&as_sdt=5,47&sciodt=0,47&hl=en",10.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136348/,2014
172,[PDF][PDF] Analysis of synaptic protein networks by interaction proteomics,https://research.vumc.nl/ws/files/472727/abstract%20dutch.pdf,N Chen - 2014 - research.vumc.nl,"Zenuwcellen communiceren via signaaloverdracht in stucturen die synapsen worden 
genoemd. Tijdens dit proces wordt een elektisch signaal in de vorm van een actiepotentiaal die …",,,https://research.vumc.nl/ws/files/472727/abstract%20dutch.pdf,2014
173,[HTML][HTML] Optimization of AAV expression cassettes to improve packaging capacity and transgene expression in neurons,https://molecularbrain.biomedcentral.com/articles/10.1186/1756-6606-7-17,"JH Choi, NK Yu, GC Baek, J Bakes… - Molecular …, 2014 - molecularbrain.biomedcentral.com","Adeno-associated virus (AAV) vectors can deliver transgenes to diverse cell types and are 
therefore useful for basic research and gene therapy. Although AAV has many advantages …","https://scholar.google.com/scholar?cites=8190654146215266857&as_sdt=5,47&sciodt=0,47&hl=en",117.0,https://molecularbrain.biomedcentral.com/articles/10.1186/1756-6606-7-17,2014
174,[HTML][HTML] Neonatal NMDA receptor blockade disrupts spike timing and glutamatergic synapses in fast spiking interneurons in a NMDA receptor hypofunction model of …,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0109303,"KS Jones, JG Corbin, MM Huntsman - PLoS One, 2014 - journals.plos.org","The dysfunction of parvalbumin-positive, fast-spiking interneurons (FSI) is considered a 
primary contributor to the pathophysiology of schizophrenia (SZ), but deficits in FSI physiology …","https://scholar.google.com/scholar?cites=13007453235460065603&as_sdt=5,47&sciodt=0,47&hl=en",13.0,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0109303,2014
175,[HTML][HTML] Molecular identity of axonal sodium channels in human cortical pyramidal cells,https://www.frontiersin.org/articles/10.3389/fncel.2014.00297/full,"C Tian, K Wang, W Ke, H Guo, Y Shu - Frontiers in cellular …, 2014 - frontiersin.org","Studies in rodents revealed that selective accumulation of Na + channel subtypes at the 
axon initial segment (AIS) determines action potential (AP) initiation and backpropagation in …","https://scholar.google.com/scholar?cites=12690776190698531326&as_sdt=5,47&sciodt=0,47&hl=en",80.0,https://www.frontiersin.org/articles/10.3389/fncel.2014.00297/full,2014
176,Blockade of Kv1. 3 channels ameliorates radiation-induced brain injury,https://academic.oup.com/neuro-oncology/article-abstract/16/4/528/1115291,"Y Peng, K Lu, Z Li, Y Zhao, Y Wang, B Hu, P Xu… - Neuro …, 2014 - academic.oup.com","Background Tumors affecting the head, neck, and brain account for significant morbidity 
and mortality. The curative efficacy of radiotherapy for these tumors is well established, but …","https://scholar.google.com/scholar?cites=16280310162969771925&as_sdt=5,47&sciodt=0,47&hl=en",72.0,https://academic.oup.com/neuro-oncology/article/16/4/528/1115291,2014
177,[PDF][PDF] In vivo activation of Wnt signaling pathway enhances cognitive function of adult mice and reverses cognitive deficits in an Alzheimer's disease model,https://repositorio.uc.cl/xmlui/bitstream/handle/11534/13223/In%20vivo%20activation%20of%20Wnt%20signaling%20pathway%20enhances%20cognitive%20function%20of%20adult%20mice%20and%20reverses%20cognitive%20deficits%20in%20an%20Alzheimer's%20disease%20model.pdf,JY Vargas Galarce - 2014 - repositorio.uc.cl,"The role of the Wnt signaling pathway during synaptic development has been well established. 
In the adult brain, different components of Wnt signaling are expressed, but little is known …",,,https://repositorio.uc.cl/xmlui/bitstream/handle/11534/13223/In%20vivo%20activation%20of%20Wnt%20signaling%20pathway%20enhances%20cognitive%20function%20of%20adult%20mice%20and%20reverses%20cognitive%20deficits%20in%20an%20Alzheimer's%20disease%20model.pdf,2014
178,[HTML][HTML] Reciprocal changes in phosphorylation and methylation of mammalian brain sodium channels in response to seizures,https://www.jbc.org/article/S0021-9258(20)38597-5/abstract,"JH Baek, M Rubinstein, T Scheuer… - Journal of Biological …, 2014 - ASBMB","Voltage-gated sodium (Nav) channels initiate action potentials in brain neurons and are 
primary therapeutic targets for anti-epileptic drugs controlling neuronal hyperexcitability in …","https://scholar.google.com/scholar?cites=4369679052053838470&as_sdt=5,47&sciodt=0,47&hl=en",56.0,https://www.jbc.org/article/S0021-9258(20)38597-5/abstract,2014
179,[HTML][HTML] PSD95 suppresses dendritic arbor development in mature hippocampal neurons by occluding the clustering of NR2B-NMDA receptors,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0094037,"FJ Bustos, L Varela-Nallar, M Campos, B Henriquez… - PLoS …, 2014 - journals.plos.org","Considerable evidence indicates that the NMDA receptor (NMDAR) subunits NR2A and 
NR2B are critical mediators of synaptic plasticity and dendritogenesis; however, how they …","https://scholar.google.com/scholar?cites=4484003018065773530&as_sdt=5,47&sciodt=0,47&hl=en",67.0,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0094037,2014
180,"K+ channels expression in hypertension after arterial injury, and effect of selective Kv1. 3 blockade with PAP-1 on intimal hyperplasia formation",https://uvadoc.uva.es/handle/10324/44591,"MP Cidad Velasco, L Novensá, M Garabito, M Batlle… - 2014 - uvadoc.uva.es","K+ channels are central to vascular pathophysiology. Previous results demonstrated that 
phenotypic modulation associates with a change in Kv1.3 to Kv1.5 expression, and that Kv1.3 …",,,https://uvadoc.uva.es/bitstream/handle/10324/44591/Kchannels-expression-hypertension.pdf?sequence=1,2014
181,The hippocampal CA2 region is essential for social memory,https://www.nature.com/articles/nature13028,"FL Hitti, SA Siegelbaum - Nature, 2014 - nature.com","The hippocampus is critical for encoding declarative memory, our repository of knowledge 
of who, what, where and when 1 . Mnemonic information is processed in the hippocampus …","https://scholar.google.com/scholar?cites=16423611898831353021&as_sdt=5,47&sciodt=0,47&hl=en",750.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4000264/,2014
182,[HTML][HTML] Binding of Y-P30 to syndecan 2/3 regulates the nuclear localization of CASK,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0085924,"P Landgraf, M Mikhaylova, T Macharadze, C Borutzki… - PLoS …, 2014 - journals.plos.org","The survival promoting peptide Y-P30 has documented neuroprotective effects as well as 
cell survival and neurite outgrowth promoting activity in vitro and in vivo. Previous work has …","https://scholar.google.com/scholar?cites=2331764259079949440&as_sdt=5,47&sciodt=0,47&hl=en",12.0,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0085924,2014
183,Fluorogenic probes for live-cell imaging of the cytoskeleton,https://www.nature.com/articles/nmeth.2972,"G Lukinavičius, L Reymond, E D'este, A Masharina… - Nature …, 2014 - nature.com","We introduce far-red, fluorogenic probes that combine minimal cytotoxicity with excellent 
brightness and photostability for fluorescence imaging of actin and tubulin in living cells. …","https://scholar.google.com/scholar?cites=6165027503480003051&as_sdt=5,47&sciodt=0,47&hl=en",746.0,https://pure.mpg.de/rest/items/item_2044723/component/file_2044759/content,2014
184,[PDF][PDF] EphA4 Activation of c-Abl Mediates Synaptic Loss and LTP Blockade Caused by,https://www.academia.edu/download/39588545/EphA4_Activation_of_c-Abl_Mediates_Synap20151101-4337-wdqqq5.pdf,"LM Vargas, N Leal, LD Estrada, A González, F Serrano - 2014 - academia.edu","The early stages of Alzheimer’s disease are characterised by impaired synaptic plasticity and 
synapse loss. Here, we show that amyloid-b oligomers (AbOs) activate the c-Abl kinase in …",,,https://www.academia.edu/download/39588545/EphA4_Activation_of_c-Abl_Mediates_Synap20151101-4337-wdqqq5.pdf,2014
185,Prenatal betamethasone does not affect glutamatergic or GABAergic neurogenesis in preterm newborns,https://www.sciencedirect.com/science/article/pii/S0306452214003042,"LR Vose, G Vinukonda, D Diamond, R Korumilli, F Hu… - Neuroscience, 2014 - Elsevier","Prenatal glucocorticoids (GCs) are routinely used for pregnant women in preterm labor to 
prevent respiratory distress syndrome and intraventricular hemorrhage in premature infants. …","https://scholar.google.com/scholar?cites=6713170589444422681&as_sdt=5,47&sciodt=0,47&hl=en",4.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4044920/,2014
186,[BOOK][B] Pain sensitization by parathyroid hormone-related peptide via convergent phosphoregulation of TRPV1,https://search.proquest.com/openview/e9b07b5b5014ab567a0d4a20f695bfb5/1?pq-origsite=gscholar&cbl=18750,AD Mickle - 2014 - search.proquest.com,"The neurobiological mechanisms underlying chronic pain in bone-metastasized breast and 
prostate cancer are not well understood although it is hypothesized that factors released in …","https://scholar.google.com/scholar?cites=329698982284041918&as_sdt=5,47&sciodt=0,47&hl=en",1.0,https://iro.uiowa.edu/view/delivery/01IOWA_INST/12730545910002771/13730811900002771,2014
