Comments	Priority	Code	scFv ID	Status 061923	Year completed	gBlock set	Plasmid	Code	Best	Notes									
investigate/redo evaluation	43	S-275	K55/7	Failed via COS-IF 6/5/23	4	1a	pcDNA3.1	275											
	3	S-276	N241A/34	COS-IF positive 2/2/23, shipped to Addgene 3/9/23	4	1a	pcDNA3.1	276	276D										
	27	S-277	K74/71	TC Supes Collected 1/24/23		1a	pcDNA3.1	277											
gblock	57	S-278	L20/8	Failed via IHC 4/25/2023	4	5	pcDNA3.4	278											
	72	S-279	L11A/41	Passed validation via  IHC 4/18/2023, pending to AddGene	4	5	pcDNA3.4	279											
	74	S-280	N196/16	Passed validation via  IHC 4/18/2023, pending to AddGene	4	5	pcDNA3.4	280	280E										
	89	S-281	N127/31	Failed via IHC 4/18/2023	4	5	pcDNA3.4	281											
	91	S-282	N110/29	Failed via IHC 4/18/2023	4	5	pcDNA3.4	282											
	93	S-283	L60/4	Failed via IHC 4/18/2023	4	5	pcDNA3.4	283											
	98	S-284	N151/3	Passed validation via  IHC 4/18/2023, pending to AddGene	4	5	pcDNA3.4	284	284A										
	107	S-285	N212/17	Passed validation via  IHC 4/18/2023, pending to AddGene	4	5	pcDNA3.4	285	285A										
investigate	109	S-286	N8B/1	Failed via IHC 4/25/2023	4	5	pcDNA3.4	286											
	111	S-287	N1/66	Failed via IHC 4/18/2023	4	5	pcDNA3.4	287											
gblock	40	S-288	8G10	Failed via COS-IF 4/13/23	4	5	pcDNA3.4	288											
	275	S-289	1D8	COS-IF inconclusive, 4/13/23, Protein ELISA positive 6/27/23,  pending to Addgene	4	5	pcDNA3.4	289											
	51	S-290	N3/26	Failed via COS-IF 4/13/23	4	5	pcDNA3.4	290											
	71	S-291	N69/46	Passed validation via COS-IF 4/13/23, pending to Addgene	4	5	pcDNA3.4	291	291D										
	256	S-292	N367/51	Passed validation via COS-IF 4/13/23, pending to Addgene	4	5	pcDNA3.4	292	292B										
	77	S-293	K17/70	Passed validation via COS-IF 4/13/23, pending to Addgene	4	5	pcDNA3.4	293											
	83	S-294	N178A/9	Failed via COS-IF 4/21/23	4	5	pcDNA3.4	294											
	84	S-295	N202/7	Failed via COS-IF 4/21/23	4	5	pcDNA3.4	295											
	85	S-296	K7/45	Passed validation via COS-IF 4/21/23, pending to Addgene	4	5	pcDNA3.4	296	296A										
	87	S-297	N168/6	Failed via COS-IF 4/21/23	4	5	pcDNA3.4	297											
	88	S-298	N93A/49	Passed validation via COS-IF 4/21/23, pending to Addgene	4	5	pcDNA3.4	298	298B										
	95	S-299	L28/4	Failed via COS-IF 4/21/23	4	5	pcDNA3.4	299											
	96	S-300	N149/25	Passed validation via COS-IF 4/21/23, pending to Addgene	4	5	pcDNA3.4	300	300F										
	99	S-301	N43/6	Passed validation via COS-IF 4/21/23, pending to Addgene	4	5	pcDNA3.4	301	301A										
	102	S-302	N11/33	Failed via COS-IF 4/21/23	4	5	pcDNA3.4	302											
	106	S-303	N201/35	Passed validation via COS-IF 4/21/23, pending to Addgene	4	5	pcDNA3.4	303	303A										
	116	S-304	N289/16	Passed validation via COS-IF 4/21/23, pending to Addgene	4	5	pcDNA3.4	304	304C										
Bad gBlock, do not redo	117	S-305	N7/18	Passed validation via COS-IF 6/26/23, pending to Addgene	4	5	pcDNA3.4	305	305B										
	119	S-306	N76/8	Failed via COS-IF 4/21/23	4	5	pcDNA3.4	306											
	120	S-307	L51/82	Failed via COS-IF 4/21/23	4	5	pcDNA3.4	307											
	173	S-308	N129/15	Passed validation via COS-IF 4/21/23, pending to Addgene	4	5	pcDNA3.4	308	308D										
	177	S-309	N422/18	Passed validation via COS-IF 4/21/23, pending to Addgene	4	5	pcDNA3.4	309	309E										
	188	S-310	N191/7	Failed via COS-IF 4/21/23	4	5	pcDNA3.4	310											
	233	S-311	N325B/65	Failed via COS-IF 4/27/23	4	5	pcDNA3.4	311											
	264	S-312	N276A/15	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	312	312A										
	278	S-313	N148/30	Failed via COS-IF 4/27/23	4	5	pcDNA3.4	313											
	285	S-314	N144/17	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	314											
	282	S-315	N445/27	Failed via COS-IF 4/27/23	4	5	pcDNA3.4	315											
	286	S-316	N255/38	Failed via COS-IF 4/27/23	4	5	pcDNA3.4	316											
	290	S-317	N372B/60	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	317											
	295	S-318	N479/12	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	318											
	334	S-319	N479/107	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	319											
	296	S-320	N86/44	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	320											
	319	S-321	N86/20	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	321											
	303	S-322	N304B/115	Failed via COS-IF 4/27/23	4	5	pcDNA3.4	322											
	306	S-323	N448/88	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	323											
	311	S-324	L86/33	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	324											
	335	S-325	N52B/27	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	325											
	343	S-326	N4/49	Failed via COS-IF 4/27/23	4	5	pcDNA3.4	326											
	345	S-327	N425/45	Failed via COS-IF 4/27/23	4	5	pcDNA3.4	327											
	355	S-328	N160/21	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	328											
	363	S-329	N390/43	Failed via COS-IF 4/27/23	4	5	pcDNA3.4	329											
	364	S-330	N429/19	Failed via COS-IF 4/27/23	4	5	pcDNA3.4	330											
	371	S-331	N133/35	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	331											
	379	S-332	N290B/25	Failed via COS-IF 4/27/23	4	5	pcDNA3.4	332											
	387	S-333	N402/46	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	333											
	388	S-334	N403/63	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	334											
	389	S-335	N406/47	Failed via COS-IF 4/27/23	4	5	pcDNA3.4	335											
	451	S-336	N449/73	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	336											
	463	S-337	N471/27	Passed validation via COS-IF 4/27/23, pending to Addgene	4	5	pcDNA3.4	337											
		S-338	N419/40	Falied Cos-IF 6/26/23		6	pcDNA3.4	338											
		S-339	N419/78	Falied Cos-IF 6/26/23	4	6	pcDNA3.4	339											
		S-340	L118/135	Failed via GA 6/3/23		6	pcDNA3.4	340											
		S-341	L118/14	Passed validation via COS-IF 6/15/23, pending to Addgene	4	6	pcDNA3.4	341											
		S-342	K75/30	Failed via COS-IF 6/15/23	4	6	pcDNA3.4	342											
		S-343	K75/18	Failed via COS-IF 6/15/23	4	6	pcDNA3.4	343											
		S-344	L24/1	Passed validation via COS-IF 6/15/23, pending to Addgene	4	6	pcDNA3.4	344											
		S-345	L24/11	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	345											
		S-346	L24/19	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	346											
		S-347	L24/21	Passed validation via COS-IF 6/26/23, pending to Addgene	4	6	pcDNA3.4	347											
		S-348	N432/21.1	Passed validation via COS-IF 6/15/23, pending to Addgene	4	6	pcDNA3.4	348											
		S-349	N432/63	Passed validation via COS-IF 6/15/23, pending to Addgene	4	6	pcDNA3.4	349											
		S-350	L121/136	Passed validation via COS-IF 6/15/23, pending to Addgene	4	6	pcDNA3.4	350											
		S-351	L121/133	Passed validation via COS-IF 6/15/23, pending to Addgene	4	6	pcDNA3.4	351											
		S-352	K66/27	Passed validation via COS-IF 6/15/23, pending to Addgene	4	6	pcDNA3.4	352											
		S-353	K66/38	Passed validation via COS-IF 6/15/23, pending to Addgene	4	6	pcDNA3.4	353											
		S-354	K66/59	Passed validation via COS-IF 6/15/23, pending to Addgene	4	6	pcDNA3.4	354											
		S-355	L107/90(VL1)	Passed validation via COS-IF 6/15/23, pending to Addgene	4	6	pcDNA3.4	355											
		S-356	L107/95	Passed validation via COS-IF 6/15/23, pending to Addgene	4	6	pcDNA3.4	356											
		S-357	L113/26	Failed via COS-IF 6/26/23		6	pcDNA3.4	357											
		S-358	L113/28	Passed validation via COS-IF 6/15/23, pending to Addgene	4	6	pcDNA3.4	358											
		S-359	L113/29	Failed via COS-IF 6/15/23	4	6	pcDNA3.4	359											
		S-360	L113/44	Passed validation via COS-IF 6/15/23, pending to Addgene	4	6	pcDNA3.4	360											
		S-361	L113/62	Failed via COS-IF 6/20/23	4	6	pcDNA3.4	361											
		S-362	L86/14	Passed validation via COS-IF 6/20/23, pending to Addgene	4	6	pcDNA3.4	362											
		S-363	L86/2	Passed validation via COS-IF 6/20/23, pending to Addgene	4	6	pcDNA3.4	363											
		S-364	N112/16	Passed validation via COS-IF 6/20/23, pending to Addgene	4	6	pcDNA3.4	364											
		S-365	N112B/29	Passed validation via COS-IF 6/20/23, pending to Addgene	4	6	pcDNA3.4	365											
		S-366	K57/27	Failed via COS-IF 6/20/23	4	6	pcDNA3.4	366											
		S-367	K57/41	Passed validation via COS-IF 6/20/23, pending to Addgene	4	6	pcDNA3.4	367											
		S-368	N227/21	transfected 6/12/23, Failed via IHC 6/20/23		6	pcDNA3.4	368											
		S-369	N294A/6	Passed validation via COS-IF 6/20/23, pending to Addgene	4	6	pcDNA3.4	369											
		S-370	N323A/31	Failed via COS-IF 6/20/23	4	6	pcDNA3.4	370											
		S-371	N416/57	Passed validation via COS-IF 6/20/23, pending to Addgene	4	6	pcDNA3.4	371											
		S-372	N424/45	Passed validation via COS-IF 6/20/23, pending to Addgene	4	6	pcDNA3.4	372											
		S-373	L106/23	Passed validation via COS-IF 6/20/23, pending to Addgene	4	6	pcDNA3.4	373											
		S-374	N485/22	Passed validation via COS-IF 6/20/23, pending to Addgene	4	6	pcDNA3.4	374											
		S-375	N486/25	Failed via COS-IF 6/20/23	4	6	pcDNA3.4	375											
		S-376	L114/38	Passed validation via COS-IF 6/20/23, pending to Addgene	4	6	pcDNA3.4	376											
		S-377	N389/9	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	377											
		S-378	N194/11	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	378											
		S-379	K13/31	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	379											
		S-380	N140A/12	Passed validation via COS-IF 6/26/23, pending to Addgene	4	6	pcDNA3.4	380											
		S-381	K19/46	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	381											
	153	S-382	N312/10	Passed validation via COS-IF 6/26/23, pending to Addgene	4	6	pcDNA3.4	382											
		S-383	N372A/1	Failed via COS-IF 6/29/23	4	6	pcDNA3.4	383											
		S-384	N391/68	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	384											
		S-385	N241A/72	Failed via COS-IF 6/29/23	4	6	pcDNA3.4	385											
		S-386	L122/144	Passed validation via COS-IF 6/26/23, pending to Addgene	4	6	pcDNA3.4	386											
		S-387	L123/46	Passed validation via COS-IF 6/26/23, pending to Addgene	4	6	pcDNA3.4	387											
		S-388	L83/81	TC supes collected 6/17/23, Inconclusive 6/29/23		6	pcDNA3.4	388											
		S-389	N55/82	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	389											
		S-390	N468/37	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	390											
		S-391	N155/9	Passed validation via COS-IF 6/26/23, pending to Addgene	4	6	pcDNA3.4	391											
		S-392	N119/44	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	392											
		S-393	N121A/1	Failed via COS-IF 6/29/23	4	6	pcDNA3.4	393											
		S-394	L6/48	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	394											
		S-395	N56/21	Passed validation via COS-IF 6/26/23, pending to Addgene	4	6	pcDNA3.4	395											
		S-396	K74/53	TC supes collected 6/17/23, Inconclusive 6/29/23		6	pcDNA3.4	396											
		S-397	N428/12	Passed validation via COS-IF 6/26/23, pending to Addgene	4	6	pcDNA3.4	397											
		S-398	N452/30	Passed validation via COS-IF 6/26/23, pending to Addgene	4	6	pcDNA3.4	398											
		S-399	N473/36.3	Passed validation via COS-IF 6/26/23, pending to Addgene	4	6	pcDNA3.4	399											
		S-400	L119/134(VL2)	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	400											
		S-401	L28/36	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	401											
		S-402	N395/68	Failed via COS-IF 6/29/23	4	6	pcDNA3.4	402											
		S-403	N238/30	TC supes collected 6/17/23, Inconclusive 6/29/23		6	pcDNA3.4	403											
		S-404	D4/154	Passed validation via COS-IF 6/26/23, pending to Addgene	4	6	pcDNA3.4	404											
		S-405	L64/32	Failed via COS-IF 6/29/23	4	6	pcDNA3.4	405											
		S-406	N411/51	Passed validation via COS-IF 6/26/23, pending to Addgene	4	6	pcDNA3.4	406											
		S-407	N465/11	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	407											
		S-408	N57/2	Failed via COS-IF 6/26/23	4	6	pcDNA3.4	408											
	1		K28/43	Passed validation via brain IHC 2/23/22, shipped to Addgene 8/11/22	3	test, 3 tags	pcDNA3.1												
	10	Genscript 2022	K89/34 Flag	Passed validation via COS-IF 6/14/22, shipped to Addgene 8/11/22	3	Genscript 2022	pcDNA3.4												
	10		K89/34	Passed validation via brain IHC 2/23/22, shipped to Addgene 8/11/22	3	test, 3 tags	pcDNA3.1												
	18	Genscript 2022	N28/9 Flag	Passed validation via COS-IF 6/29/22, shipped to Addgene 8/11/22	3	Genscript 2022	pcDNA3.4												
	236*	Genscript 2022	L114/3 Flag	Passed validation via COS-IF 6/27/22, shipped to Addgene 8/11/22	3	Genscript 2022	pcDNA3.4												
	13	trial set	N133/21	Passed validation via COS-IF 06/19/21, shipped to Addgene 1/11/22	2	trial set	pcDNA3.1												
	14	trial set	K65/35	Passed validation via COS-IF 06/19/21, shipped to Addgene 1/11/22	2	trial set	pcDNA3.1												
	17	trial set	N68/6	Passed validation via HEK-IF 06/23/21, shipped to Addgene 1/11/22	2	trial set	pcDNA3.1												
	20	trial set	N355/1	Passed validation via COS-IF 06/19/21, shipped to Addgene 1/11/22, reshipped in shipment scheduled for June 2022	2	trial set	pcDNA3.1												
	63	Genscript2019	N263/31 LC1	Passed validation via COS-IF 2/24/20, shipped to Addgene 1/11/22	2	Genscript2019	pCDNA3.4												
	63	Genscript2019	N263/31 LC2	Did not express, not shipped	2	Genscript2019	pCDNA3.4												
	1	Genscript2020	K28/43	Passed validation via brain IHC 2/25/20, shipped to Addgene 1/11/22	1	Genscript2020	pCDNA3.4												
	4	Genscript2018	N295B/66	Passed validation via COS-IF, shipped to Addgene 1/11/22	1	Genscript2018	pcDNA3.1												
	7	Genscript2018	N86/38	Passed validation via COS-IF 2/24/20, shipped to Addgene 1/11/22	1	Genscript2018	pcDNA3.1												
	9	Genscript2018	K14/16	Passed validation via brain IHC 2/25/20, shipped to Addgene 1/11/22	1	Genscript2018	pcDNA3.1												
	10	Genscript2020	K89/34	Passed validation via brain IHC 2/25/20, shipped to Addgene 1/11/22	1	Genscript2020	pCDNA3.4												
	15	Genscript2018	N59/36	Passed validation via COS-IF, shipped to Addgene 1/11/22	1	Genscript2018	pcDNA3.1												
	18	Genscript2018	N28/9	Passed validation via brain IHC 2/25/20, shipped to Addgene 1/11/22	1	Genscript2018	pcDNA3.1												
	54	Genscript2018	N29/29	Passed validation via COS-IF 2/24/20, shipped to Addgene 1/11/22	1	Genscript2018	pcDNA3.1												
	75	Genscript2018	N419/40	Weak/no expression, Failed via validation	1	Genscript2018	pCDNA3.1												
	82	Genscript2018	K13/31	Weak/no expression, Failed via validation	1	Genscript2018	pCDNA3.1												
	86	Genscript2018	N52A/42	Passed validation via COS-IF, shipped to Addgene 1/11/22	1	Genscript2018	pcDNA3.1												
	92	Genscript2020	K39/25	Passed validation via brain IHC 2/25/20, shipped to Addgene 1/11/22	1	Genscript2020	pCDNA3.4												
	103	Genscript2018	N56/21	Weak/no expression, Failed via validation	1	Genscript2018	pCDNA3.1												
	105	Genscript2018	K66/38	Weak/no expression, Failed via validation	1	Genscript2018	pCDNA3.1												
	152	Genscript2018	N57/2	Weak/no expression, Failed via validation	1	Genscript2018	pCDNA3.1												
	156	Genscript2018	K55/82	Good expression, Failed via validation	1	Genscript2018	pCDNA3.1												
	171	Genscript2018	N419/78	Weak/no expression, Failed via validation	1	Genscript2018	pCDNA3.1												
	236*	Genscript2019	L114/3	Passed validation via brain IHC 2/25/20, shipped to Addgene 1/11/22	1	Genscript2019	pCDNA3.4												
	241*	Genscript2019	L109/57	Passed validation via brain IHC 2/25/20, shipped to Addgene 1/11/22	1	Genscript2019	pCDNA3.4												
	298*	Genscript2019	L114/81	Passed validation via brain IHC 2/25/20, shipped to Addgene 1/11/22	1	Genscript2019	pCDNA3.4												
	430*	Genscript2019	L122/6	Passed validation via COS-IF, shipped to Addgene 1/11/22	1	Genscript2019	pCDNA3.4												
	469*	Genscript2019	N486/32	Passed validation via COS-IF/IHC, shipped to Addgene 1/11/22	1	Genscript2019	pCDNA3.4												
redo using GA gBlock needed		Genscript2018	D3/71	Weak/no expression, Failed via validation	1	Genscript2018	pCDNA3.1												
which VL was used	6	trial set	L21/32	Passed sequencing, transfected, pending validation		trial set	pcDNA3.1												
no need as S-59 and S-108 worked	12	trial set	N59/20	Passed sequencing, transfected, pending validation		trial set	pcDNA3.1												
	21	Genscript2020	K57/1			Genscript2020	pCDNA3.4												
																			
																			
redo evaluation or redo as GA gBlock needed	Not ranked	Genscript2019	L111/118	Good expression, COS-IF inconclusive		Genscript2019	pCDNA3.4												
																			
			N111/24	in progress as gblock		set 7	pCDNA3.4												
			N275/14	in progress as gblock		set 7	pCDNA3.4												
			K19/36	in progress as gblock		set 7	pCDNA3.4												
			L8/15	in progress as gblock		set 7	pCDNA3.4												
			K78/29	in progress as gblock		set 7	pCDNA3.4												
	113		N147/6	in progress as gblock		set 7	pCDNA3.4												
			N408/62	in progress as gblock		set 7	pCDNA3.4												
			N283/7	in progress as gblock		set 7	pCDNA3.4												
			K9/40	in progress as gblock		set 7	pCDNA3.4												
			N388A/10	in progress as gblock		set 7	pCDNA3.4												
			N244/5	in progress as gblock		set 7	pCDNA3.4												
			N106/43	in progress as gblock		set 7	pCDNA3.4												
			K47/42	in progress as gblock		set 7	pCDNA3.4												
			N182/17	in progress as gblock		set 7	pCDNA3.4												
			N77/15	in progress as gblock		set 7	pCDNA3.4												
			N212/3	in progress as gblock		set 7	pCDNA3.4												
			L43/40	in progress as gblock		set 7	pCDNA3.4												
			62-3G1	in progress as gblock		set 7	pCDNA3.4												
			N81/37	in progress as gblock		set 7	pCDNA3.4												
			L6/23	in progress as gblock		set 7	pCDNA3.4												
			N116/14	in progress as gblock		set 7	pCDNA3.4												
			L42/17	in progress as gblock		set 7	pCDNA3.4												
			K37/89	in progress as gblock		set 7	pCDNA3.4												
	76		N231B/34	in progress as gblock		set 7	pCDNA3.4												
			N212/7	in progress as gblock		set 7	pCDNA3.4												
			N34/34	in progress as gblock		set 7	pCDNA3.4												
