,Priority,Clone,2012-2019 Total,Process,Status 081623,Year completed,R-mAb gBlocks,GA number,Isotype switch to IgG2b status,BG note
,,K89/41.2,,Neuromabseq inhouse cloning,"Passed validation via IB 5/28/21, shipped to Addgene 9/27/21",2,Set 3,156,,
,,L61C/30.1,,Neuromabseq inhouse cloning,"Passed validation via IB 5/28/21, shipped to Addgene 9/27/21",2,Set 3,157,,
,338,L83/11,4,Neuromabseq inhouse cloning,"Passed validation via COS-IF 06/19/21, shipped to Addgene 9/27/21",2,Set 3,158,,
,,L131/17,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 3,159,,
,,L131/27,,Neuromabseq inhouse cloning,"Passed validation via CCN CHN-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 3,161,,
,,D4/40.2,,Neuromabseq inhouse cloning,"Passed validation via IB 10/21/21 , shipped to Addgene 01/27/2022, reshipped 6/27/22",3,Set 3,162,,
,62,K60/73,134,Neuromabseq inhouse cloning,"Passed validation via IB 6/25/21, shipped to Addgene 9/27/21",2,Set 2,163,,
,161,N294A/10,38,Neuromabseq inhouse cloning,"Passed validation via CCN CHN-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 2,165,,
,,L100/1.2,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 10/15/21, shipped to Addgene 01/27/2022",3,Set 3,167,,
,250,L86/36,14,Neuromabseq inhouse cloning,"Passed validation via IB 10/22/21, shipped to Addgene 01/27/2022",3,test set,168,,
,153,N312/10,40,Neuromabseq inhouse cloning,"Passed validation via IHC 3/23/22, shipped to Addgene 8/11/22",3,Set 4,169,,
,237,N286/74,16,Neuromabseq inhouse cloning,"Passed validation via IB 2/22/22, shipped to Addgene 6/27/22",3,Set 4,170,,
,193,N212A/34,26,Neuromabseq inhouse cloning,"Passed validation via IB 10/20/21, shipped to Addgene 01/27/2022",3,Set 4,171,,
,232,N144/32,17,Neuromabseq inhouse cloning,"Passed validation via IB 11/19/21, shipped to Addgene 01/27/2022",3,Set 4,172,,
,186,N238/31,28,Neuromabseq inhouse cloning,"Passed validation via IB 11/5/21, shipped to Addgene 01/27/2022, reshipped 6/27/22",3,Set 4,173,,
,160,N75/3,39,Neuromabseq inhouse cloning,"Passed validation via IB 10/20/21, shipped to Addgene 01/27/2022, reshipped 6/27/22",3,Set 4,174,,
,239,N366/60,16,Neuromabseq inhouse cloning,"Passed validation via COS-IF 2/22/22, shipped to Addgene 6/27/22",3,Set 4,175,,
,168,N126B/31,33,Neuromabseq inhouse cloning,"Passed validation via IB 11/19/21, shipped to Addgene 01/27/2022",3,Set 4,176,,
,243,N158/28,15,Neuromabseq inhouse cloning,"Passed validation via IB 11/19/21, shipped to Addgene 01/27/2022",3,Set 4,177,,
,167,N50/36,34,Neuromabseq inhouse cloning,"Passed validation via IB 10/20/21, shipped to Addgene 01/27/2022",3,Set 4,178,,
,244,N229A/32,15,Neuromabseq inhouse cloning,"Passed validation via IB 11/19/21 , shipped to Addgene 01/27/2022",3,Set 4,179,,
,246,N384/63,15,Neuromabseq inhouse cloning,"Passed validation via IB 11/5/21, shipped to Addgene 01/27/2022",3,Set 4,180,,
,174,N25/35,32,Neuromabseq inhouse cloning,"Passed validation via IB 10/22/21 , shipped to Addgene 01/27/2022",3,Set 4,181,,
,225,N225A/10,19,Neuromabseq inhouse cloning,Passed validation via IB 02/08/22 shipped to Addgene 6/27/22,3,Set 4,182,,
,229,N209C/35,18,Neuromabseq inhouse cloning,"Passed validation via IB 11/19/21, shipped to Addgene 01/27/2022",3,Set 4,183,,
,251,N165/43,14,Neuromabseq inhouse cloning,Passed validation via IB 03/18/22 shipped to Addgene 6/27/22,3,Set 4,184,,
,247,N396/29,15,Neuromabseq inhouse cloning,Passed validation via COS-IF 02/04/22 shipped to Addgene 6/27/22,3,Set 4,185,,
,,K28/25,,Neuromabseq inhouse cloning,"Passed validation via IB 2/22/22, shipped to Addgene 6/27/22",3,Set 5,186,,
,,K28/27,,Neuromabseq inhouse cloning,"Passed validation via IB 2/22/22, shipped to Addgene 6/27/22",3,Set 5,187,,
,,K28/38,,Neuromabseq inhouse cloning,"Passed validation via IB 2/22/22, shipped to Addgene 6/27/22",3,Set 5,188,,
,,K28/42,,Neuromabseq inhouse cloning,"Passed validation via IB 2/22/22, shipped to Addgene 6/27/22",3,Set 5,189,,
,,K28/58,,Neuromabseq inhouse cloning,"Passed validation via IB 2/22/22, shipped to Addgene 6/27/22",3,Set 5,190,,
,,K28/94,,Neuromabseq inhouse cloning,"Passed validation via IB 2/22/22, shipped to Addgene 6/27/22",3,Set 5,191,,
,249,K40/17,14,Neuromabseq inhouse cloning,Passed validation via IB 03/18/22 shipped to Addgene 6/27/22,3,Set 5,192,,
,,K56A/57,,Neuromabseq inhouse cloning,Passed validation via IB 02/08/22 shipped to Addgene 6/27/22,3,Set 5,193,,
,,L106/22,,Neuromabseq inhouse cloning,"Passed validation via IB 3/15/22, shipped to Addgene 6/27/22",3,Set 5,194,,
,,L106/23,,Neuromabseq inhouse cloning,"TC Supes collected 26-Jan-22, no need to test as GA237 passed",,Set 5,195,,
,269,N15/39,10,Neuromabseq inhouse cloning,Passed validation via COS-IF 02/04/22 shipped to Addgene 6/27/22,3,Set 5,196,,
,267,N65/37,11,Neuromabseq inhouse cloning,"TC Supe collected 26-Jan-22, pending validation, failed validation via COS-IF 5/25/23",4,Set 5,197,,
,263,N221/12,11,Neuromabseq inhouse cloning,Passed validation via IB 03/16/22 shipped to Addgene 6/27/22,3,Set 5,199,,
,272,N270/47,10,Neuromabseq inhouse cloning,Passed validation via COS-IF 02/04/22 shipped to Addgene 6/27/22,3,Set 5,200,,
,264,N276A/15,11,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/16/22 shipped to Addgene 6/27/22,3,Set 5,201,,
,273,N302/10,10,Neuromabseq inhouse cloning,"Passed validation via IB 15March2022, shipped to Addgene 6/27/22",3,Set 5,202,,
,256,N367/51,13,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/16/22 shipped to Addgene 6/27/22,3,Set 5,203,,
,,D4/154,,Neuromabseq inhouse cloning,Passed validation via COS-IF 04/7/22 shipped to Addgene 6/27/22,3,Set 6,205,,
,,L58A/6,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 2/22/22, shipped to Addgene 6/27/22",3,Set 6,207,,
,,L61C/30,,Neuromabseq inhouse cloning,"Passed validation via IB 3/15/22, shipped to Addgene 6/27/22",3,Set 6,208,,
,2,N106/36 (VL2),1352,Neuromabseq inhouse cloning,"Passed validation via IHC 6/26/22, shipped to Addgene 8/11/22",3,Set 6,211,Completed,
,35,N106/65,218,Neuromabseq inhouse cloning,"Passed validation via COS-IF 5/25/23, shipped to Addgene 7/27/23",4,Set 6,212,,
,,L57/23,,Neuromabseq inhouse cloning,"Passed validation via IB 4/20/22, shipped to Addgene 6/27/22

",3,Set 6,213,,
,,L57/47,,Neuromabseq inhouse cloning,"Passed validation via IB 4/20/22, shipped to Addgene 6/27/22

",3,Set 6,214,,
,,L132/18,,Neuromabseq inhouse cloning,"Passed validation via IB 3/18/22, shipped to Addgene 6/27/22",3,Set 6,215,,
,,L132/37,,Neuromabseq inhouse cloning,Passed validation via IB  18Mar2022 shipped to Addgene 7/27/23 ,3,Set 6,216,,
,,L48A/29,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 5/25/23, shipped to Addgene 7/27/23",4,Set 6,217,,
,,L48A/31,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 5/25/23, shipped to Addgene 7/27/23",4,Set 6,218,,
,84,N202/7,90,Neuromabseq inhouse cloning,"Passed validation via IB 3/15/22, shipped to Addgene 6/27/22",3,Set 6,219,,
,180,62-3G1,29,Neuromabseq inhouse cloning,"Passed validation via IB 3/15/22, shipped to Addgene 8/11/22",3,Set 6,220,,
,227,N423/75,19,Neuromabseq inhouse cloning,"Passed validation via IB 3/15/22, shipped to Addgene 6/27/22",3,Set 6,221,,
,275,1D8,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/28/22, shipped to Addgene 8/11/22",3,Set 6,222,,
,40,8G10,196,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/28/22, shipped to Addgene 8/11/22",3,Set 6,223,,
,33,K69/3,,Neuromabseq inhouse cloning,"TC Supes collected 23-Feb-22, negative via IB 4/20/22, not needed as GA387 passed ",3,Set 6,224,,
,25,K87A/10,,Neuromabseq inhouse cloning,"TC Supes collected 07-Mar-22, Protein ELISA positive 6/27/23,  shipped to Addgene 7/27/23",4,Set 6,225,,
,36,N134/12,211,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/7/22, shipped to Addgene 6/27/22",3,Set 6,226,Completed,
,,N140A/12,,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/16/22 shipped to Addgene 6/27/22,3,Set 6,227,,
,216,N374/48,21,Neuromabseq inhouse cloning,"Passed validation via IB 3/15/22, shipped to Addgene 6/27/22",3,Set 6,229,,
,233,N325B/65,17,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/29/22 shipped to Addgene 6/27/22,3,Set 6,230,,
,,L109/62,,Neuromabseq inhouse cloning,"Passed validation via IB 3/15/22, shipped to Addgene 6/27/22",3,Set 6,231,,
,,L122/144,,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/16/22 shipped to Addgene 6/27/22,3,Set 6,232,,
,,L123/46,,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/29/22 shipped to Addgene 6/27/22,3,Set 6,235,,
,,L106/23,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 12/16/22, shipped to Addgene 3/9/23",4,Set 6,237,,
,,L113/26,,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/16/22 shipped to Addgene 6/27/22,3,Set 6,239,,
,,L113/28,,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/16/22 shipped to Addgene 6/27/22,3,Set 6,240,,
,,L113/29,,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/16/22 shipped to Addgene 8/11/22,3,Set 6,241,,
,,L113/44,,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/16/22 shipped to Addgene 6/27/22,3,Set 6,242,,
,,L113/62,,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/16/22 shipped to Addgene 6/27/22,3,Set 6,243,,
,,L117/52,,Neuromabseq inhouse cloning,"Passed validation via IB 3/15/22, shipped to Addgene 6/27/22
",3,Set 6,244,,
,,K75/18,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 03/29/22 shipped to Addgene 6/27/22
",3,Set 6,245,,
,,K74/53,,Neuromabseq inhouse cloning,"Passed validation via IHC 04/14/22 shipped to Addgene 6/27/22
",3,Set 6,246,,
,,K69/33,,Neuromabseq inhouse cloning,"Passed validation via IB 4/20/22, shipped to Addgene 3/9/23",4,Set 6,247,,
,,L107/50,,Neuromabseq inhouse cloning,"TC Supes collected 02-Mar-22, untested, tested negative via COS-IF 5/25/23",4,Set 6,249,,
,,L107/90 VL1,,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/16/22 shipped to Addgene 6/27/22,3,Set 6,250,,
,38,N103/31 VL2,,Neuromabseq inhouse cloning,"TC Supes collected 2/16/22, COS-IF negative 3/9/22",3,Set 6,251,,
,,L107/95,,Neuromabseq inhouse cloning,Passed validation via COS-IF 04/7/22 shipped to Addgene 6/27/22,3,Set 6,254,,
,,L121/133,,Neuromabseq inhouse cloning,Passed validation via COS-IF 04/7/22 shipped to Addgene 6/27/22,3,Set 6,255,,
,,L121/136,,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/29/22 shipped to Addgene 8/11/22,3,Set 6,256,,
,,L119/134 VL1,,Neuromabseq inhouse cloning,"TC Supes collected, failed validation via COS-IF 3/19/22 (not needed as GA258 passed)",3,Set 6,257,,
,,L119/134 VL2,,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/29/22 shipped to Addgene 6/27/22,3,Set 6,258,,
,,L114/38,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/25/22, shipped to Addgene 6/27/22",3,Set 6,259,,
,,L111/43,,Neuromabseq inhouse cloning,"TC Supes collected 07-Mar-22, pending validation via (inconclusive via COS-IF 5/25/23)",,Set 6,260,,
,,K14/39,,Neuromabseq inhouse cloning,"Passed validation via IB 3/15/22, shipped to Addgene 6/27/22",3,Set 6,264,,
,,K55/29,,Neuromabseq inhouse cloning,"Passed validation via IB 5/3/22, shipped to Addgene 8/11/22",3,Set 6,265,,
,43,K55/7 VL1,,Neuromabseq inhouse cloning,"Passed validation via IB 3/18/22, shipped to Addgene 6/27/22",3,Set 6,266,,
,,K55/72,,Neuromabseq inhouse cloning,"TC Supes collected 07-Mar-22, pending validation",,Set 6,267,,
,,K56A/57,,Neuromabseq inhouse cloning,"Passed validation via IB 5/17/22, shipped to Addgene 8/11/22",3,Set 6,268,,
,,K57/27,,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/29/22 shipped to Addgene 6/27/22,3,Set 6,270,,
,,K57/41,,Neuromabseq inhouse cloning,Passed validation via COS-IF 03/29/22 shipped to Addgene 6/27/22,3,Set 6,271,,
,,K60/87 VH1/VL1,,Neuromabseq inhouse cloning,"Passed validation via IB 4/20/22, shipped to Addgene 6/27/22",3,Set 6,272,,
,,K60/87 VH1/VL2,,Neuromabseq inhouse cloning,"TC Supes collected 21-Mar-22, failed validation via IB 4/20/22, not needed as GA272 passed",3,Set 6,273,,
,,K60/87 VH2/VL1,,Neuromabseq inhouse cloning,"TC Supes collected 21-Mar-22, failed validation via IB 4/20/22, not needed as GA272 passed",3,Set 6,274,,
,,K60/87 VH2/VL1,,Neuromabseq inhouse cloning,"TC Supes collected 21-Mar-22, failed validation via IB 4/20/22, not needed as GA272 passed",3,Set 6,275,,
,,K66/27,,Neuromabseq inhouse cloning,"Passed validation via IHC 6/26/22, shipped to Addgene 8/11/22",3,Set 6,276,,
,,K66/59,,Neuromabseq inhouse cloning,"Passed validation via IHC 6/26/22, shipped to Addgene 8/11/22",3,Set 6,277,,
,,L108/17,,Neuromabseq inhouse cloning,"Transfected 11-May-22, pending validation via (inconclusive via IB 5/20/2022), inconclusive via COS-IF 5/25/23 > test via IHC",,Set 6,278,,
,,L118/135,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/25/22, shipped to Addgene 6/27/22",3,Set 6,279,,
,,L118/14,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/25/22, shipped to Addgene 6/27/22",3,Set 6,280,,
,,L24/1,,Neuromabseq inhouse cloning,Passed validation via COS-IF 04/7/22 shipped to Addgene 6/27/22,3,Set 6,281,,
,,L24/11,,Neuromabseq inhouse cloning,Passed validation via COS-IF 04/7/22 shipped to Addgene 6/27/22,3,Set 6,282,,
,,L24/19,,Neuromabseq inhouse cloning,Passed validation via COS-IF 04/7/22 shipped to Addgene 6/27/22,3,Set 6,283,,
,,L24/21,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 04/7/22, shipped to Addgene 6/27/22",3,Set 6,284,,
,,L28/36,,Neuromabseq inhouse cloning,Passed validation via COS-IF 04/7/22 shipped to Addgene 8/11/22,3,Set 6,285,,
,,L71/22,,Neuromabseq inhouse cloning,"Passed validation via IB 5/3/22, shipped to Addgene 8/11/22",3,Set 6,286,,
,,L83/81,,Neuromabseq inhouse cloning,"Passed validation via IHC 6/26/22, shipped to Addgene 8/11/22",3,Set 6,287,,
,,L86/14,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/29/22, shipped to Addgene 8/11/22",3,Set 6,288,,
,,L86/2,,Neuromabseq inhouse cloning,"Passed validation via IHC 6/26/22, shipped to Addgene 8/11/22",3,Set 6,289,,
,266,N357/6 (VL1),11,Neuromabseq inhouse cloning,"Passed validation via IB 4/20/22, shipped to Addgene 6/27/22",3,Set 6,290,,
,266,N357/6 (VL2),11,Neuromabseq inhouse cloning,"Failed sequencing 29-Mar-22; Failed COS-IF 8/1/22, not needed as GA290 passed",4,Set 6,291,,
,318,N479/22,6,Neuromabseq inhouse cloning,"Passed validation via IB 4/20/22, shipped to Addgene 6/27/22",3,Set 7,293,,
,284,L6/48,8,Neuromabseq inhouse cloning,"Passed validation via COS-IF 2/24/23, shipped to Addgene 7/27/23",4,Set 7,294,,
,333,N450/53 (VL1),5,Neuromabseq inhouse cloning,"Passed validation via IB 4/20/22, shipped to Addgene 6/27/22",3,Set 7,295,,
,333,N450/53 (VL2),5,Neuromabseq inhouse cloning,"TC Supes collected 06-Apr-22, pending validation via (negative via IB 4/20/22) no need to pursue as GA295 succeeded",3,Set 7,296,,
,297,N98/47,8,Neuromabseq inhouse cloning,"Passed validation via IB 04/29/22, shipped to Addgene 6/27/22",3,Set 7,297,,
,292,N385/21,8,Neuromabseq inhouse cloning,"Passed validation via IB 4/20/22, shipped to Addgene 8/11/22",3,Set 7,298,,
,451,N449/73,0,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/25/22, shipped to Addgene 8/11/22 ",3,Set 7,299,,
,,N485/22,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/25/22, shipped to Addgene 6/27/22",3,Set 7,300,,
,285,N144/17,8,Neuromabseq inhouse cloning,"Passed validation via COS-IF 12/9/22, shipped to Addgene 3/9/23",4,Set 7,301,,
,458,N465/11,0,Neuromabseq inhouse cloning,"Passed validation via IHC 6/26/22, shipped to Addgene 8/11/22",3,Set 7,302,,
,319,N86/20,6,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/25/22, shipped to Addgene 6/27/22",3,Set 7,303,,
,282,N445/27,9,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/25/22, shipped to Addgene 6/27/22",3,Set 7,305,,
,290,N372B/60,8,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/25/22, shipped to Addgene 6/27/22",3,Set 7,306,,
,463,N471/27,0,Neuromabseq inhouse cloning,"Passed validation via COS-IF 12/9/22, shipped to Addgene 3/9/23",4,Set 7,307,,
,296,N86/44,8,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/25/22, shipped to Addgene 6/27/22",3,Set 7,308,,
,477,L64/32,,Neuromabseq inhouse cloning,"Passed validation via IHC 6/26/22, shipped to Addgene 8/11/22",3,Set 7,309,,
,334,N479/107,5,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/25/22, shipped to Addgene 6/27/22",3,Set 7,310,,
,335,N52B/27,5,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/25/22, shipped to Addgene 6/27/22",3,Set 7,311,,
,295,N479/12,8,Neuromabseq inhouse cloning,"Passed validation via COS-IF 8/1/22, shipped to Addgene 3/9/23",4,Set 7,312,,
,,N241A/72,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/28/22, shipped to Addgene 8/11/22",3,Set 7,313,,
,310,L62/29,6,Neuromabseq inhouse cloning,"Passed validation via IB 5/17/22, shipped to Addgene 8/11/22",3,Set 8,315,,
,311,L86/33,6,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/29/22 (316 positive, 317 negative), shipped to Addgene 8/11/22",3,Set 8,316,317,
,311,L86/33 VL2,6,Neuromabseq inhouse cloning,"TC Supes collected 16-May-22, negative via COS-IF 6/29/22. (no need to pursue as GA316 succeeded )",3,Set 8,317,,
,371,N133/35,2,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/1/22, shipped to Addgene 8/11/22",3,Set 8,318,,
,278,N148/30,9,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/1/22, shipped to Addgene 8/11/22",3,Set 8,319,,
,355,N160/21,3,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/1/22, shipped to Addgene 8/11/22",3,Set 8,320,,
,314,N166A/26,6,Neuromabseq inhouse cloning,"Passed validation via IB 5/17/22, shipped to Addgene 8/11/22",3,Set 8,321,,
,409,N238/29,1,Neuromabseq inhouse cloning,"Passed validation via IB 5/17/22, shipped to Addgene 8/11/22",3,Set 8,322,,
,436,N238/30,0,Neuromabseq inhouse cloning,"Passed validation via IHC 6/26/22, shipped to Addgene 8/11/22",3,Set 8,323,,
,279,N294A/6,9,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/28/22, shipped to Addgene 8/11/22",3,Set 8,324,,
,286,N255/38,8,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/28/22, shipped to Addgene 8/11/22",3,Set 8,325,,
,379,N290B/25,2,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/28/22, shipped to Addgene 8/11/22",3,Set 8,326,,
,303,N304B/115,7,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/28/22, shipped to Addgene 8/11/22",3,Set 8,327,,
,281,N324/2,9,Neuromabseq inhouse cloning,"Passed validation via IB 5/20/22, shipped to Addgene 8/11/22",3,Set 8,328,,
,440,N326D/13,0,Neuromabseq inhouse cloning,"Passed validation via IB 5/12/23, shipped to Addgene 7/27/23",4,Set 8,329,,
,441,N326D/2,0,Neuromabseq inhouse cloning,"Passed validation via IB 5/20/22, shipped to Addgene 8/11/22",3,Set 8,330,,
,328,N360A/24,5,Neuromabseq inhouse cloning,"Passed validation via IB 5/20/22, shipped to Addgene 8/11/22",3,Set 8,332,,
,305,N364/10,7,Neuromabseq inhouse cloning,"Passed validation via IB 5/20/22, shipped to Addgene 8/11/22",3,Set 8,333,,
,329,N377/83,5,Neuromabseq inhouse cloning,"Passed validation via IB 5/20/22, shipped to Addgene 8/11/22",3,Set 8,334,,
,330,N382/14,5,Neuromabseq inhouse cloning,"Passed validation via IB 5/20/22, shipped to Addgene 8/11/22",3,Set 8,335,,
,331,N389/9,5,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/24/23 & 4/4/23, shipped to Addgene 7/27/23",4,Set 8,336,,
,363,N390/43,3,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/1/22, shipped to Addgene 8/11/22",3,Set 8,337,,
,343,N4/49,4,Neuromabseq inhouse cloning,"Passed validation via COS-IF 12/16/22, shipped to Addgene 3/9/23",4,Set 8,338,,
,386,N402/13,2,Neuromabseq inhouse cloning,"Passed validation via IB 5/20/22, shipped to Addgene 8/11/22",3,Set 8,339,,
,387,N402/46,2,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/1/22, shipped to Addgene 8/11/22",3,Set 8,340,,
,388,N403/63,2,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/1/22, shipped to Addgene 8/11/22",3,Set 8,341,,
,389,N406/47,2,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/1/22, shipped to Addgene 8/11/22",3,Set 8,342,,
,345,N425/45,4,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/28/22, shipped to Addgene 8/11/22",3,Set 8,343,,
,364,N429/19,3,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/28/22, shipped to Addgene 8/11/22",3,Set 8,344,,
,306,N448/88,7,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/28/22, shipped to Addgene 8/11/22",3,Set 8,345,,
,346,N452/30,4,Neuromabseq inhouse cloning,"Passed validation via IHC 6/26/22, COS-IF 6/28/22, shipped to Addgene 8/11/22",3,Set 8,346,,
,,N112/16,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 2/16/23, shipped to Addgene 7/27/23",4,Set 9,347,,
,,N112B/29,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 2/16/23 and 4/4/23, shipped to Addgene 7/27/23",4,Set 9,348,,
,,K65A/2,,Neuromabseq inhouse cloning,"Passed validation via IB 3/9/23, shipped to Addgene 7/27/23",4,Set 9,349,,
,,K67/11,,Neuromabseq inhouse cloning,"Passed validation via IB 3/9/23, shipped to Addgene 7/27/23",4,Set 9,350,,
,,L125/76,,Neuromabseq inhouse cloning,"Passed validation via IB 3/9/23, shipped to Addgene 7/27/23",4,Set 9,351,,
,,N486/25,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/24/23, shipped to Addgene 7/27/23",4,Set 9,352,,
,,N372A/1,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/24/23, pending to Addgene",4,Set 9,353,,
,,N141/21,,Neuromabseq inhouse cloning,"TC Supes collected 2/15/23, failed validation via COS-IF 2/16/23, COS-IF positive when re-transfected DNA into HEK-296-6E cells, shipped to Addgene 7/27/23",4,Set 9,354,,
,372,N145/20,2,Neuromabseq inhouse cloning,"Passed validation via IB 3/9/23, shipped to Addgene 7/27/23",4,Set 9,358,,
,417,N391/68,1,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/23/23, shipped to Addgene 7/27/23",4,Set 9,359,,
,410,N323A/31,1,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/23/23, shipped to Addgene 7/27/23",4,Set 9,360,,
,375,N210/5,2,Neuromabseq inhouse cloning,"Passed validation via IB 3/9/23, shipped to Addgene 7/27/23",4,Set 9,361,,
,344,N424/45,4,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/23/23, shipped to Addgene 7/27/23",4,Set 9,362,,
,368,N104/37,,Neuromabseq inhouse cloning,"Passed validation via IB 3/16/23, shipped to Addgene 7/27/23",4,Set 9,363,,
,341,N233/8,,Neuromabseq inhouse cloning,"Passed validation via IB 3/16/23, shipped to Addgene 7/27/23",4,Set 9,364,,
,390,N441/35,2,Neuromabseq inhouse cloning,"Passed validation via IB 3/9/22, shipped to Addgene 7/27/23",4,Set 9,365,,
,,N416/57,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/23/23, shipped to Addgene 7/27/23",4,Set 9,366,,
,,N186A/4,,Neuromabseq inhouse cloning,"TC Supes collected 2/22/23,  COS-IF inconclusive 3/2/23, 3/24/23, failed IHC 5/4/23",4,Set 9,367,,
,427,K75/30,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/2/23, shipped to Addgene 7/27/23",4,Set 9,369,,
,408,N194/11,1,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/24/23, shipped to Addgene 7/27/23",4,Set 9,370,,
,187,N121A/1,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/2/23, shipped to Addgene 7/27/23",4,Set 9,371,,
,460,N468/37,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/24/23 and 4/4/23, shipped to Addgene 7/27/23",4,Set 9,372,,
,,K19/46,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/2/23, shipped to Addgene 7/27/23",4,Set 9,373,,
,294,N405/74,8,Neuromabseq inhouse cloning,"GA done 2/1/23, failed sequencing 2/8/23, (no need to pursue as GA422 succeeded )",,Set 9,375,,
,,K47/9,,Neuromabseq inhouse cloning,"Passed validation via IB 3/9/23, shipped to Addgene 7/27/23",4,Set 9,376,,
,396,L108/92,1,Neuromabseq inhouse cloning,"Passed validation via COS-IF 06/19/21, shipped to Addgene 9/27/21",2,Set 3,377,,should be prioritized higher
,447,N432/63.1.1.3,0,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/23/23, shipped to Addgene 7/27/23",4,Set 10,378,,
,321,N432/21.1,5,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/23/23, shipped to Addgene 7/27/23",4,Set 10,379,,
,456,N459/84.5,0,Neuromabseq inhouse cloning,"Tc supes collected 3/20/23, Cos-IF negative 4/13/23, COS-IF positive with new transfection 6/5/23; pending to Addgene",4,Set 10,380,,investigate before shipping to Addgene
,456,N459/84.2,0,Neuromabseq inhouse cloning,"Tc supes collected 3/20/23, Cos-IF negative 4/13/23, COS-IF positive with new transfection 6/5/23; pending to Addgene",4,Set 10,381,,investigate before shipping to Addgene
,416,N388A/27.1.2,1,Neuromabseq inhouse cloning,"Passed validation via IB 4/5/23, shipped to Addgene 7/27/23",4,Set 10,382,,
