sample_name	trimmer_id	PlateName	SeqYear	Dropout? Missing	Dropout resolution	Category	ShowOnWeb	ProteinTarget	ChangeDate	ChangeReason
P52_G10	L113/19	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P52_F7	L113/2	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P52_G11	L113/20	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P52_G12	L113/21	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P52_H1	L113/22	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P52_H2	L113/23	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P52_H3	L113/24	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P52_H4	L113/25	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P14_H1	L113/26.1	plate14	Year1	n/a-n/a		2	T	Homer1	20200605	
P14_H7	L113/26.2	plate14	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P14_H2	L113/26.3	plate14	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P14_H3	L113/26.4	plate14	Year1	Dec2020dropout-LC		2	T	Homer1	20201109	Corrected category
P14_H4	L113/26.5	plate14	Year1	Dec2020dropout-Both		2	T	Homer1	20201109	Corrected category
P14_A5	L113/27.1	plate14	Year1	n/a-n/a		3	T	Homer1	20200605	
P14_B4	L113/27.3	plate14	Year1	Dec2020dropout-Both		3	T	Homer1	20200605	
P2_B10	L113/27.4	plate2	Year1	n/a-n/a		1	T	Homer1	20200428	
P73_C12	L113/27.4	plate73	Year2			1	T	Homer1	20210312	
P15_E6	L113/28.1	plate15	Year1	Dec2020dropout-Both		2	T	Homer1	20200605	
PS1_B5	L113/28.1	plateS1	Year2	n/a-n/a		2	T	Homer1	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P15_B6	L113/28.2	plate15	Year1	Dec2020dropout-Both		2	T	Homer1	20201109	Corrected category
P15_E7	L113/28.3	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P15_B7	L113/28.4	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P15_B8	L113/28.5	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P15_E8	L113/29.1	plate15	Year1	n/a-n/a		2	T	Homer1	20200605	
P15_E9	L113/29.2	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P15_B10	L113/29.3	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P15_B9	L113/29.5	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
PS1_A9	L113/29.5	plateS1	Year2	n/a-n/a		2	T	Homer1	20210312	Should be corroborating subclone seq, may show if better seq than initial one, corrected category => might as well show
P52_F8	L113/3	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P52_H5	L113/30	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P52_H6	L113/31	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P52_H7	L113/32	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P52_H8	L113/33	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P52_H9	L113/34	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P52_H10	L113/35	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P54_A8	L113/36	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_A9	L113/37	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_A10	L113/38	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_A11	L113/39	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_A12	L113/40	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_B1	L113/41	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_B2	L113/42	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_B3	L113/43	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P15_G8	L113/44.1	plate15	Year1	n/a-n/a		2	T	Homer1	20200605	
PS1_B11	L113/44.1	plateS1	Year2	n/a-n/a		2	T	Homer1	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P15_G9	L113/44.2	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P15_G10	L113/44.3	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P15_G11	L113/44.4	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P15_G12	L113/44.5	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P54_B4	L113/45	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_B5	L113/46	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_B6	L113/47	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_B7	L113/48	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_B8	L113/49	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P52_F9	L113/5	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P54_B9	L113/50	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_B10	L113/51	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_B11	L113/52	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_B12	L113/53	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_C1	L113/54	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_C2	L113/55	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_C3	L113/56	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_C4	L113/57	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_C5	L113/58	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_C6	L113/59	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P52_F10	L113/6	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P15_H1	L113/60.1	plate15	Year1	n/a-n/a		2	T	Homer1	20200605	
PS1_B12	L113/60.1	plateS1	Year2	n/a-n/a		2	T	Homer1	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P15_H2	L113/60.2	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P15_H3	L113/60.3	plate15	Year1	Dec2020dropout-Both		2	T	Homer1	20201109	Corrected category
P15_H4	L113/60.4	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P15_H5	L113/60.5	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P15_H6	L113/60.6	plate15	Year1	Dec2020dropout-Both		2	T	Homer1	20201109	Corrected category
P15_H7	L113/60.7	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P54_C7	L113/61	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P15_A11	L113/62.1	plate15	Year1	n/a-n/a		2	T	Homer1	20200605	
PS1_A7	L113/62.1	plateS1	Year2	n/a-n/a		2	T	Homer1	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P15_A12	L113/62.2	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P15_B11	L113/62.3	plate15	Year1	n/a-n/a		2	T	Homer1	20201109	Corrected category
P54_C8	L113/63	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_C9	L113/64	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_C10	L113/65	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_C11	L113/66	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_C12	L113/67	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_D1	L113/68	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_D2	L113/69	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P52_F11	L113/7	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P54_D3	L113/70	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_D4	L113/71	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_D5	L113/72	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_D6	L113/73	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_D7	L113/74	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_D8	L113/76	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_D9	L113/77	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_D10	L113/78	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_D11	L113/79	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P52_F12	L113/8	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P15_E10	L113/80.1	plate15	Year1	Dec2020dropout-Both	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	Homer1	20201009	No show on web because expecting better seq from AP or DP plate
PDP1_C1	L113/80.1	plateDP1	Year2	Dec2020dropout-Both		2	T	Homer1	20201009	
PS1_B6	L113/80.1	plateS1	Year2	Dec2020dropout-Both	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	T	Homer1	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P15_E11	L113/80.2	plate15	Year1	Dec2020dropout-Both	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	Homer1	20201109	No show on web because expecting better seq from AP or DP plate, corrected category
PDP1_C2	L113/80.2	plateDP1	Year2	Dec2020dropout-Both		2	T	Homer1	20201109	Corrected category
P54_D12	L113/81	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_E1	L113/82	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_E2	L113/83	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_E3	L113/84	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_E4	L113/85	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_E5	L113/86	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_E6	L113/87	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_E7	L113/88	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_E8	L113/89	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P52_G1	L113/9	plate52	Year1	n/a-n/a		4	T	Homer1	20200619	
P54_E9	L113/90	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_E10	L113/92	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_E11	L113/93	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_E12	L113/94	plate54	Year1	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_F1	L113/95	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_F2	L113/97	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_F3	L113/98	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P54_F4	L113/99	plate54	Year1	Dec2020dropout-LC	n/a, Category 4 parent so skip for now	4	T	Homer1	20200619	
P44_F7	L114/1	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P11_G9	L114/13.1	plate11	Year1	Dec2020dropout-HC	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	Parvalbumin	20201009	No show on web because expecting better seq from AP or DP plate
PDP1_B5	L114/13.1	plateDP1	Year2	Dec2020dropout-HC		2	T	Parvalbumin	20201009	
P11_G10	L114/13.2	plate11	Year1	Dec2020dropout-HC	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	Parvalbumin	20201109	No show on web because expecting better seq from AP or DP plate, corrected category
PDP1_B2	L114/13.2	plateDP1	Year2	Dec2020dropout-HC		2	T	Parvalbumin	20201109	Corrected category
P11_H5	L114/13.3	plate11	Year1	Dec2020dropout-HC	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	Parvalbumin	20201109	No show on web because expecting better seq from AP or DP plate, corrected category
PDP1_B7	L114/13.3	plateDP1	Year2	Dec2020dropout-Both		2	T	Parvalbumin	20201109	Corrected category
P11_G7	L114/13.4	plate11	Year1	Dec2020dropout-HC	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	Parvalbumin	20201109	No show on web because expecting better seq from AP or DP plate, corrected category
PDP1_B3	L114/13.4	plateDP1	Year2	Dec2020dropout-HC		2	T	Parvalbumin	20201109	Corrected category
P11_G8	L114/13.5	plate11	Year1	Dec2020dropout-Both	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	Parvalbumin	20201109	No show on web because expecting better seq from AP or DP plate, corrected category
PDP1_B4	L114/13.5	plateDP1	Year2	Dec2020dropout-HC		2	T	Parvalbumin	20201109	Corrected category
P11_H4	L114/13.6	plate11	Year1	Dec2020dropout-HC	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	Parvalbumin	20201109	No show on web because expecting better seq from AP or DP plate, corrected category
PDP1_B6	L114/13.6	plateDP1	Year2	Dec2020dropout-HC		2	T	Parvalbumin	20201109	Corrected category
P44_F9	L114/16	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_F8	L114/2	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_F10	L114/21	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_F11	L114/22	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_F12	L114/23	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P11_F4	L114/3.1	plate11	Year1	Dec2020dropout-Both		3	T	Parvalbumin	20200605	
P11_F5	L114/3.2	plate11	Year1	Dec2020dropout-Both		3	T	Parvalbumin	20200605	
PRnD_N5	L114/3.3	RandD_samples	Year1	n/a-n/a		1	T	Parvalbumin	20200617	Changed "sample_name" as per RnD key
Psanger_Gs7	L114/3.3C	Sanger_samples		n/a-n/a		7	T	Parvalbumin	20210113	Changed "sample_name" as per Gs key, corrected sample name
P44_G1	L114/30	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_E1	L114/33	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_E2	L114/34	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_E3	L114/36	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_E4	L114/37	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P11_F6	L114/38.1	plate11	Year1	n/a-n/a		2	T	Parvalbumin	20200605	
P11_F7	L114/38.2	plate11	Year1	n/a-n/a		2	T	Parvalbumin	20201109	Corrected category
P11_F8	L114/38.3	plate11	Year1	n/a-n/a		2	T	Parvalbumin	20201109	Corrected category
P11_F9	L114/38.4	plate11	Year1	n/a-n/a		2	T	Parvalbumin	20201109	Corrected category
P44_E5	L114/39	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_E6	L114/40	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_E7	L114/44	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_E9	L114/45	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_E10	L114/48	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_E11	L114/49	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_E12	L114/53	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_F1	L114/55	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_F2	L114/57	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_F3	L114/60	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_F4	L114/62	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_F5	L114/63	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_F6	L114/64	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_D10	L114/79	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P11_A10	L114/81.1	plate11	Year1	Dec2020dropout-HC		3	T	Parvalbumin	20200605	
P11_F10	L114/81.1.1	plate11	Year1	Dec2020dropout-HC		3	T	Parvalbumin	20200605	
P11_F12	L114/81.1.2	plate11	Year1	Dec2020dropout-HC		3	T	Parvalbumin	20200605	
P11_G2	L114/81.1.3	plate11	Year1	Dec2020dropout-HC		3	T	Parvalbumin	20200605	
P11_G3	L114/81.1.4	plate11	Year1	Dec2020dropout-HC		3	T	Parvalbumin	20200605	
P11_G4	L114/81.1.5	plate11	Year1	Dec2020dropout-Both		3	T	Parvalbumin	20200605	
P11_F11	L114/81.1.6	plate11	Year1	n/a-n/a		3	T	Parvalbumin	20200605	
P11_G5	L114/81.1.7	plate11	Year1	n/a-n/a		3	T	Parvalbumin	20200605	
P11_G1	L114/81.1.8	plate11	Year1	Dec2020dropout-HC		3	T	Parvalbumin	20200605	
P11_G6	L114/81.1.9	plate11	Year1	Dec2020dropout-Both		3	T	Parvalbumin	20200605	
P11_G11	L114/81.2	plate11	Year1	Dec2020dropout-Both		3	T	Parvalbumin	20200605	
P32R_H12	L114/81.2	plate32R	Year2	n/a-n/a		3	T	Parvalbumin	20201109	
P11_G12	L114/81.3	plate11	Year1	Dec2020dropout-HC		3	T	Parvalbumin	20200605	
P11_H1	L114/81.4	plate11	Year1	Dec2020dropout-HC		3	T	Parvalbumin	20200605	
P11_H2	L114/81.5	plate11	Year1	Dec2020dropout-HC		3	T	Parvalbumin	20200605	
P11_H3	L114/81.6	plate11	Year1	n/a-n/a		3	T	Parvalbumin	20200605	
PRnD_N6	L114/81.7.1	RandD_samples	Year1	n/a-n/a		1	T	Parvalbumin	20200617	Changed "sample_name" as per RnD key
Psanger_Gs10	L114/81.7.1C	Sanger_samples		n/a-n/a		7	T	Parvalbumin	20210113	Changed "sample_name" as per Gs key, corrected sample name
P44_D11	L114/82	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P44_D12	L114/86	plate44	Year1	n/a-n/a		4	T	Parvalbumin	20200619	
P28_B11	L115/123.1	plate28	Year1	Dec2020dropout-LC	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	NPY	20201009	No show on web because expecting better seq from AP or DP plate
PAP1_C7	L115/123.1	plateAP1		n/a-n/a		2	F	NPY	20201228	No show on web because not doing AP plate
P28_B12	L115/125.1	plate28	Year1	n/a-n/a		2	T	NPY	20200428	
P67_F2	L115/13.1	plate67	Year2	n/a-n/a		3	T	NPY	20201109	
P67_F3	L115/13.2	plate67	Year2	n/a-n/a		3	T	NPY	20201109	
P2_D3	L115/13.3	plate2	Year1	n/a-n/a		1	T	NPY	20200428	
P28_B10	L115/62.1	plate28	Year1	n/a-n/a		2	T	NPY	20200428	
P40_F8	L116/104.8	plate40	Year1	n/a-n/a		2	T	NARP/NPTX2	20200619	
P40_F9	L116/34.1	plate40	Year1	n/a-n/a		2	T	NARP/NPTX2	20200619	
P40_F11	L116/86.1	plate40	Year1	Dec2020dropout-HC	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	NARP/NPTX2	20201009	No show on web because expecting better seq from AP or DP plate
PDP2_G7	L116/86.1	plateDP2	Year2	n/a-n/a		2	T	NARP/NPTX2	20201009	
P15_A9	L117/1.1	plate15	Year1	n/a-n/a		3	T	IRSp53/BAIAP2	20200605	
PS1_A5	L117/1.1	plateS1	Year2	n/a-n/a		3	T	IRSp53/BAIAP2	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P15_B12	L117/1.2	plate15	Year1	n/a-n/a		3	T	IRSp53/BAIAP2	20200605	
P2_D7	L117/1.3	plate2	Year1	n/a-n/a		1	T	IRSp53/BAIAP2	20200428	
P55_H2	L117/100	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_H3	L117/101	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_H4	L117/102	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_H5	L117/103	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_H6	L117/104	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_H7	L117/105	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_H8	L117/106	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_H9	L117/107	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_B3	L117/11	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_H10	L117/110	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_A12	L117/112	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_B1	L117/113	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_B2	L117/116	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_B3	L117/117	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_B4	L117/119	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_B4	L117/12	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_B5	L117/120	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_B6	L117/122	plate56	Year1	Dec2020dropout-HC	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	4	F	IRSp53/BAIAP2	20201009	No show on web because expecting better seq from AP or DP plate
PDP2_E12	L117/122	plateDP2	Year2	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	IRSp53/BAIAP2	20201009	
P56_B7	L117/125	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_B8	L117/127	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_B9	L117/129	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_B10	L117/131	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_B11	L117/132	plate56	Year1	n/a-n/a		4	F	IRSp53/BAIAP2	20201009	No show on web because expecting better seq from AP or DP plate
PDP2_D12	L117/132	plateDP2	Year2	Dec2020dropout-Both	n/a, Category 4 parent so skip for now	4	T	IRSp53/BAIAP2	20201009	
P56_B12	L117/133	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_C1	L117/134	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_C2	L117/137	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_C3	L117/138	plate56	Year1	Dec2020dropout-HC	n/a, Category 4 parent so skip for now	4	T	IRSp53/BAIAP2	20200619	
P56_C4	L117/139	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_C5	L117/140	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P15_G5	L117/141.1	plate15	Year1	Dec2020dropout-HC		2	T	IRSp53/BAIAP2	20200605	
PS1_B10	L117/141.1	plateS1	Year2	Dec2020dropout-HC	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	T	IRSp53/BAIAP2	20210312	Should be corroborating subclone seq, may show if better seq than initial one => might as well show
P15_G6	L117/141.2	plate15	Year1	Dec2020dropout-HC		2	T	IRSp53/BAIAP2	20201109	Corrected category
P15_G7	L117/141.3	plate15	Year1	Dec2020dropout-Both		2	T	IRSp53/BAIAP2	20201109	Corrected category
P56_C6	L117/142	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_C7	L117/144	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_B5	L117/15	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_B6	L117/16	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_B7	L117/17	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_B8	L117/18	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_B9	L117/19	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P56_A4	L117/2	plate56	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_B10	L117/20	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_B11	L117/21	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_B12	L117/22	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_C1	L117/23	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_C2	L117/24	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_C3	L117/25	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_C4	L117/26	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_C5	L117/27	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
P55_C6	L117/28	plate55	Year1	n/a-n/a		4	T	IRSp53/BAIAP2	20200619	
